timestamp,service,metric,value
2026-06-21T20:00:00Z,ai-agent-svc,workflow_500_rate,0.003
2026-06-21T20:14:00Z,ai-agent-svc,workflow_500_rate,0.52
2026-06-21T20:40:00Z,ai-agent-svc,workflow_500_rate,0.58
2026-06-21T18:45:00Z,inference-runner,inference_500_rate,0.004
2026-06-21T19:02:00Z,inference-runner,inference_500_rate,0.41
2026-06-21T19:40:00Z,inference-runner,inference_500_rate,0.47
2026-06-21T20:30:00Z,inference-runner,inference_500_rate,0.49
2026-06-21T16:00:00Z,ai-memory-svc,memory_write_error_rate,0.004
2026-06-21T16:40:00Z,ai-memory-svc,memory_write_error_rate,0.021
2026-06-21T17:20:00Z,ai-memory-svc,memory_write_error_rate,0.11
2026-06-21T18:30:00Z,ai-memory-svc,memory_write_error_rate,0.17
2026-06-21T20:30:00Z,ai-memory-svc,memory_write_error_rate,0.23
2026-06-21T17:30:00Z,inference-runner,token_usage_pct,76
2026-06-21T20:30:00Z,inference-runner,token_usage_pct,85
2026-06-21T17:20:00Z,inference-runner,spend_pct,90.8
2026-06-21T17:50:00Z,inference-runner,spend_pct,89.9
2026-06-21T18:05:00Z,inference-runner,gpu_mem_pct,96
2026-06-21T18:40:00Z,inference-runner,gpu_mem_pct,71
2026-06-21T18:45:00Z,ai-agent-svc,tool_call_error_rate,0.004
2026-06-21T18:50:00Z,ai-agent-svc,tool_call_error_rate,0.18
2026-06-21T18:52:00Z,ai-agent-svc,tool_call_error_rate,0.02
2026-06-21T19:05:00Z,ai-agent-svc,tool_call_error_rate,0.27
2026-06-21T19:30:00Z,ai-agent-svc,tool_call_error_rate,0.41
2026-06-21T20:10:00Z,ai-agent-svc,tool_call_error_rate,0.55
2026-06-21T19:00:00Z,inference-runner,gpu_warmup_mem_pct,70
2026-06-21T19:15:00Z,inference-runner,gpu_warmup_mem_pct,82
2026-06-21T19:20:00Z,inference-runner,gpu_warmup_mem_pct,88
2026-06-21T19:45:00Z,inference-runner,gpu_warmup_mem_pct,89
2026-06-21T20:30:00Z,inference-runner,gpu_warmup_mem_pct,89
