timestamp,service,metric,value
2026-04-08T01:00:00Z,checkout,http_5xx_rate,0.004
2026-04-08T01:03:00Z,checkout,http_5xx_rate,0.14
2026-04-08T01:06:00Z,checkout,http_5xx_rate,0.05
2026-04-08T01:12:00Z,checkout,http_5xx_rate,0.006
2026-04-08T01:42:00Z,checkout,http_5xx_rate,0.12
2026-04-08T01:46:00Z,checkout,http_5xx_rate,0.007
2026-04-08T01:00:00Z,inventory,db_query_errors,0.001
2026-04-08T01:05:00Z,inventory,db_query_errors,0.21
2026-04-08T01:08:00Z,inventory,db_query_errors,0.02
2026-04-08T01:34:00Z,inventory,db_query_errors,0.18
2026-04-08T01:37:00Z,inventory,db_query_errors,0.003
2026-04-08T01:00:00Z,orders-db,connection_errors,0.001
2026-04-08T01:02:00Z,orders-db,connection_errors,0.33
2026-04-08T01:05:00Z,orders-db,connection_errors,0.03
2026-04-08T02:02:00Z,orders-db,connection_errors,0.29
2026-04-08T02:05:00Z,orders-db,connection_errors,0.02
2026-04-08T01:00:00Z,orders-db,replication_lag_s,3.0
2026-04-08T02:00:00Z,orders-db,replication_lag_s,6.0
2026-04-08T02:11:00Z,orders-db,replication_lag_s,140.0
2026-04-08T02:12:00Z,orders-db,replication_lag_s,380.0
2026-04-08T02:30:00Z,orders-db,replication_lag_s,690.0
2026-04-08T02:55:00Z,orders-db,replication_lag_s,910.0
2026-04-08T01:00:00Z,payments-worker,queue_depth,1200.0
2026-04-08T01:07:00Z,payments-worker,queue_depth,8200.0
2026-04-08T01:11:00Z,payments-worker,queue_depth,1400.0
2026-04-08T01:53:00Z,payments-worker,queue_depth,7600.0
2026-04-08T01:57:00Z,payments-worker,queue_depth,1300.0
2026-04-08T02:14:00Z,payments-worker,error_rate,0.19
2026-04-08T02:30:00Z,payments-worker,error_rate,0.24
2026-04-08T02:55:00Z,payments-worker,error_rate,0.26
2026-04-08T01:00:00Z,checkout,p99_latency_ms,260.0
2026-04-08T01:10:00Z,checkout,p99_latency_ms,1450.0
2026-04-08T01:13:00Z,checkout,p99_latency_ms,280.0
2026-04-08T01:00:00Z,inventory,p99_latency_ms,300.0
2026-04-08T01:18:00Z,inventory,p99_latency_ms,2100.0
2026-04-08T01:22:00Z,inventory,p99_latency_ms,320.0
2026-04-08T02:13:00Z,checkout,http_5xx_rate,0.27
2026-04-08T02:30:00Z,checkout,http_5xx_rate,0.31
2026-04-08T02:55:00Z,checkout,http_5xx_rate,0.34
2026-04-08T01:40:00Z,cdn-edge,origin_error_rate,0.002
2026-04-08T01:46:00Z,cdn-edge,origin_error_rate,0.61
2026-04-08T02:10:00Z,cdn-edge,origin_error_rate,0.68
2026-04-08T02:55:00Z,cdn-edge,origin_error_rate,0.72
2026-04-08T01:20:00Z,search-indexer,memory_pct,79.0
2026-04-08T01:25:00Z,search-indexer,memory_pct,91.0
2026-04-08T02:00:00Z,search-indexer,memory_pct,95.0
2026-04-08T02:55:00Z,search-indexer,memory_pct,98.0
2026-04-08T00:30:00Z,recommendation,cpu_pct,55.0
2026-04-08T00:33:00Z,recommendation,cpu_pct,92.0
2026-04-08T00:34:00Z,recommendation,cpu_pct,48.0
2026-04-08T00:30:00Z,log-archiver,disk_usage_pct,84.0
2026-04-08T00:51:00Z,log-archiver,disk_usage_pct,86.0
2026-04-08T00:52:00Z,log-archiver,disk_usage_pct,83.0
2026-04-08T02:25:00Z,log-archiver,disk_usage_pct,85.4
2026-04-08T02:26:00Z,log-archiver,disk_usage_pct,83.2
