timestamp,service,metric,value
2026-03-12T02:00:00Z,postgres-primary,replication_lag_s,2.0
2026-03-12T02:10:00Z,postgres-primary,replication_lag_s,8.0
2026-03-12T02:14:00Z,postgres-primary,replication_lag_s,95.0
2026-03-12T02:20:00Z,postgres-primary,replication_lag_s,420.0
2026-03-12T02:40:00Z,postgres-primary,replication_lag_s,510.0
2026-03-12T02:00:00Z,checkout,http_5xx_rate,0.004
2026-03-12T02:15:00Z,checkout,http_5xx_rate,0.18
2026-03-12T02:25:00Z,checkout,http_5xx_rate,0.31
2026-03-12T02:00:00Z,orders,p99_latency_ms,240.0
2026-03-12T02:16:00Z,orders,p99_latency_ms,9800.0
2026-03-12T02:00:00Z,log-archiver,disk_usage_pct,84.0
2026-03-12T02:03:00Z,log-archiver,disk_usage_pct,86.0
2026-03-12T02:04:00Z,log-archiver,disk_usage_pct,83.0
2026-03-12T01:48:00Z,recommendation,cpu_pct,91.0
2026-03-12T01:49:00Z,recommendation,cpu_pct,44.0
2026-03-12T00:42:00Z,frontend,http_5xx_rate,0.07
2026-03-12T00:44:00Z,frontend,http_5xx_rate,0.003
2026-03-12T02:22:00Z,billing,queue_depth,15200.0
2026-03-12T01:30:00Z,auth,login_failure_rate,0.01
2026-03-12T01:36:00Z,auth,login_failure_rate,0.04
2026-03-12T01:37:00Z,auth,login_failure_rate,0.92
2026-03-12T01:50:00Z,auth,login_failure_rate,0.94
2026-03-12T02:30:00Z,auth,login_failure_rate,0.96
2026-03-12T01:36:00Z,api-gateway,http_401_rate,0.02
2026-03-12T01:38:00Z,api-gateway,http_401_rate,0.74
2026-03-12T02:10:00Z,api-gateway,http_401_rate,0.79
2026-03-12T01:40:00Z,session-store,memory_pct,71.0
2026-03-12T01:55:00Z,session-store,memory_pct,88.0
2026-03-12T02:05:00Z,session-store,memory_pct,97.0
2026-03-12T02:08:00Z,session-store,memory_pct,99.0
2026-03-12T02:30:00Z,session-store,memory_pct,99.0
2026-03-12T01:40:00Z,session-store,pod_restart_count,0.0
2026-03-12T02:08:00Z,session-store,pod_restart_count,4.0
2026-03-12T02:11:00Z,session-store,pod_restart_count,7.0
