timestamp,service,metric,value
2026-03-12T00:30:00Z,payments-ledger,memory_pct,62.0
2026-03-12T00:50:00Z,payments-ledger,memory_pct,69.0
2026-03-12T01:10:00Z,payments-ledger,memory_pct,77.0
2026-03-12T01:24:00Z,payments-ledger,memory_pct,84.0
2026-03-12T01:45:00Z,payments-ledger,memory_pct,91.0
2026-03-12T02:00:00Z,payments-ledger,memory_pct,96.0
2026-03-12T00:30:00Z,postgres-primary,disk_usage_pct,74.0
2026-03-12T00:50:00Z,postgres-primary,disk_usage_pct,78.0
2026-03-12T01:06:00Z,postgres-primary,disk_usage_pct,82.0
2026-03-12T01:30:00Z,postgres-primary,disk_usage_pct,88.0
2026-03-12T01:50:00Z,postgres-primary,disk_usage_pct,93.0
2026-03-12T02:05:00Z,postgres-primary,disk_usage_pct,97.0
2026-03-12T00:30:00Z,api-gateway,conn_pool_utilization_pct,68.0
2026-03-12T00:50:00Z,api-gateway,conn_pool_utilization_pct,74.0
2026-03-12T01:11:00Z,api-gateway,conn_pool_utilization_pct,83.0
2026-03-12T01:35:00Z,api-gateway,conn_pool_utilization_pct,90.0
2026-03-12T01:55:00Z,api-gateway,conn_pool_utilization_pct,95.0
2026-03-12T02:10:00Z,api-gateway,conn_pool_utilization_pct,98.0
2026-03-12T01:01:00Z,edge-router,http_5xx_rate,0.21
2026-03-12T01:03:00Z,edge-router,http_5xx_rate,0.004
2026-03-12T01:19:00Z,edge-router,http_5xx_rate,0.19
2026-03-12T01:20:00Z,edge-router,http_5xx_rate,0.005
2026-03-12T01:47:00Z,edge-router,http_5xx_rate,0.16
2026-03-12T01:48:00Z,edge-router,http_5xx_rate,0.006
2026-03-12T01:31:00Z,recommendation,cpu_pct,97.0
2026-03-12T01:32:00Z,recommendation,cpu_pct,46.0
2026-03-12T01:52:00Z,recommendation,cpu_pct,95.0
2026-03-12T01:53:00Z,recommendation,cpu_pct,49.0
2026-03-12T00:45:00Z,frontend,http_5xx_rate,0.002
2026-03-12T00:46:00Z,frontend,http_5xx_rate,0.09
2026-03-12T00:48:00Z,frontend,http_5xx_rate,0.003
2026-03-12T00:47:00Z,frontend,cpu_pct,90.5
2026-03-12T00:49:00Z,frontend,cpu_pct,42.0
2026-03-12T00:48:00Z,checkout,cpu_pct,92.0
2026-03-12T00:50:00Z,checkout,cpu_pct,47.0
2026-03-12T01:09:00Z,search,p99_latency_ms,870.0
2026-03-12T01:11:00Z,search,p99_latency_ms,210.0
2026-03-12T01:33:00Z,search,cpu_pct,91.0
2026-03-12T01:34:00Z,search,cpu_pct,52.0
2026-03-12T01:22:00Z,image-resize,p99_latency_ms,905.0
2026-03-12T01:24:00Z,image-resize,p99_latency_ms,180.0
2026-03-12T01:58:00Z,cart,p99_latency_ms,845.0
2026-03-12T02:00:00Z,cart,p99_latency_ms,260.0
2026-03-12T01:41:00Z,notifications,http_5xx_rate,0.058
2026-03-12T01:42:00Z,notifications,http_5xx_rate,0.004
2026-03-12T01:14:00Z,media-transcode,queue_depth,8200.0
2026-03-12T01:30:00Z,media-transcode,queue_depth,3100.0
2026-03-12T01:45:00Z,media-transcode,queue_depth,900.0
2026-03-12T01:44:00Z,billing,queue_depth,11300.0
2026-03-12T01:55:00Z,billing,queue_depth,12800.0
2026-03-12T02:05:00Z,billing,queue_depth,13900.0
2026-03-12T00:30:00Z,cache-service,memory_pct,49.0
2026-03-12T00:50:00Z,cache-service,memory_pct,58.0
2026-03-12T01:10:00Z,cache-service,memory_pct,66.0
2026-03-12T01:25:00Z,cache-service,memory_pct,71.0
2026-03-12T01:45:00Z,cache-service,memory_pct,72.0
2026-03-12T02:05:00Z,cache-service,memory_pct,72.0
2026-03-12T02:20:00Z,cache-service,memory_pct,72.0
2026-03-12T00:30:00Z,session-store,memory_pct,72.0
2026-03-12T01:00:00Z,session-store,memory_pct,84.0
2026-03-12T01:02:00Z,session-store,memory_pct,76.0
2026-03-12T01:20:00Z,session-store,memory_pct,89.0
2026-03-12T01:22:00Z,session-store,memory_pct,82.0
2026-03-12T01:40:00Z,session-store,memory_pct,93.0
2026-03-12T01:42:00Z,session-store,memory_pct,88.0
2026-03-12T02:00:00Z,session-store,memory_pct,97.0
2026-03-12T02:02:00Z,session-store,memory_pct,94.0
