timestamp,service,metric,value
2026-04-08T14:30:00Z,payment-gateway,error_rate,0.004
2026-04-08T14:32:00Z,payment-gateway,error_rate,0.12
2026-04-08T14:40:00Z,payment-gateway,error_rate,0.27
2026-04-08T14:55:00Z,payment-gateway,error_rate,0.41
2026-04-08T14:31:00Z,frontend,http_5xx_rate,0.09
2026-04-08T14:33:00Z,frontend,http_5xx_rate,0.004
2026-04-08T14:33:00Z,cart,http_5xx_rate,0.08
2026-04-08T14:35:00Z,cart,http_5xx_rate,0.003
2026-04-08T14:34:00Z,search,p99_latency_ms,1200.0
2026-04-08T14:36:00Z,search,p99_latency_ms,260.0
2026-04-08T14:28:00Z,payment-gateway,p99_latency_ms,1100.0
2026-04-08T14:30:00Z,payment-gateway,p99_latency_ms,230.0
