timestamp,service,metric,value
2026-06-23T17:45:00Z,platform-api,http_5xx_rate,0.004
2026-06-23T18:00:00Z,platform-api,http_5xx_rate,0.005
2026-06-23T18:20:00Z,platform-api,http_5xx_rate,0.41
2026-06-23T18:40:00Z,platform-api,http_5xx_rate,0.47
2026-06-23T19:00:00Z,platform-api,http_5xx_rate,0.45
2026-06-23T16:30:00Z,ingest-gateway,http_5xx_rate,0.006
2026-06-23T17:00:00Z,ingest-gateway,http_5xx_rate,0.007
2026-06-23T17:05:00Z,ingest-gateway,http_5xx_rate,0.22
2026-06-23T17:30:00Z,ingest-gateway,http_5xx_rate,0.26
2026-06-23T18:00:00Z,ingest-gateway,http_5xx_rate,0.24
2026-06-23T15:30:00Z,checkout-api,request_latency_p99_ms,640
2026-06-23T16:00:00Z,checkout-api,request_latency_p99_ms,910
2026-06-23T16:30:00Z,checkout-api,request_latency_p99_ms,2180
2026-06-23T17:00:00Z,checkout-api,request_latency_p99_ms,2740
2026-06-23T17:30:00Z,checkout-api,request_latency_p99_ms,3120
2026-06-23T18:00:00Z,checkout-api,request_latency_p99_ms,3360
