timestamp,service,metric,value
2026-03-12T02:00:00Z,payments-db,connection_pool_available,42.0
2026-03-12T02:10:00Z,payments-db,connection_pool_available,12.0
2026-03-12T02:12:00Z,payments-db,connection_pool_available,0.0
2026-03-12T02:20:00Z,payments-db,connection_pool_available,0.0
2026-03-12T02:40:00Z,payments-db,connection_pool_available,0.0
2026-03-12T02:10:00Z,orders,p99_latency_ms,260.0
2026-03-12T02:13:00Z,orders,p99_latency_ms,11200.0
2026-03-12T02:30:00Z,orders,p99_latency_ms,12400.0
2026-03-12T02:10:00Z,cart,error_rate,0.01
2026-03-12T02:14:00Z,cart,error_rate,0.28
2026-03-12T02:30:00Z,cart,error_rate,0.31
2026-03-12T01:40:00Z,checkout,http_5xx_rate,0.004
2026-03-12T01:46:00Z,checkout,http_5xx_rate,0.61
2026-03-12T02:10:00Z,checkout,http_5xx_rate,0.58
2026-03-12T02:40:00Z,checkout,http_5xx_rate,0.64
2026-03-12T01:40:00Z,web-bff,http_5xx_rate,0.006
2026-03-12T01:47:00Z,web-bff,http_5xx_rate,0.33
2026-03-12T02:20:00Z,web-bff,http_5xx_rate,0.36
2026-03-12T02:15:00Z,api-gateway,p99_latency_ms,420.0
2026-03-12T02:24:00Z,api-gateway,p99_latency_ms,4200.0
2026-03-12T02:35:00Z,api-gateway,p99_latency_ms,5100.0
2026-03-12T02:45:00Z,api-gateway,p99_latency_ms,5600.0
2026-03-12T02:02:00Z,log-archiver,disk_usage_pct,86.0
2026-03-12T02:03:00Z,log-archiver,disk_usage_pct,82.0
2026-03-12T02:39:00Z,log-archiver,disk_usage_pct,85.4
2026-03-12T02:40:00Z,log-archiver,disk_usage_pct,82.0
2026-03-12T01:52:00Z,recommendation,cpu_pct,92.0
2026-03-12T01:53:00Z,recommendation,cpu_pct,46.0
2026-03-12T02:33:00Z,search,cpu_pct,91.0
2026-03-12T02:34:00Z,search,cpu_pct,49.0
2026-03-12T00:41:00Z,frontend,http_5xx_rate,0.08
2026-03-12T00:43:00Z,frontend,http_5xx_rate,0.003
2026-03-12T00:43:00Z,frontend,cpu_pct,93.0
2026-03-12T00:44:00Z,frontend,cpu_pct,41.0
2026-03-12T01:58:00Z,image-resize,p99_latency_ms,870.0
2026-03-12T01:59:00Z,image-resize,p99_latency_ms,540.0
2026-03-12T01:20:00Z,image-resize,cpu_pct,91.0
2026-03-12T01:21:00Z,image-resize,cpu_pct,43.0
2026-03-12T01:09:00Z,notifications,queue_depth,5120.0
2026-03-12T01:10:00Z,notifications,queue_depth,2300.0
2026-03-12T02:48:00Z,notifications,http_5xx_rate,0.054
2026-03-12T02:49:00Z,notifications,http_5xx_rate,0.002
