timestamp,service,metric,value
2026-05-19T02:55:00Z,edge-lb-uswest,upstream_503_rate,0.004
2026-05-19T03:00:40Z,edge-lb-uswest,upstream_503_rate,0.21
2026-05-19T03:02:00Z,edge-lb-uswest,upstream_503_rate,0.06
2026-05-19T03:04:00Z,edge-lb-uswest,upstream_503_rate,0.005
2026-05-19T03:01:10Z,checkout,conn_reset_rate,0.18
2026-05-19T03:02:30Z,checkout,conn_reset_rate,0.04
2026-05-19T03:01:25Z,orders,conn_reset_rate,0.15
2026-05-19T03:02:40Z,orders,conn_reset_rate,0.03
2026-05-19T03:02:00Z,recommendation-uswest,p99_latency_ms,1450.0
2026-05-19T03:03:30Z,recommendation-uswest,p99_latency_ms,610.0
2026-05-19T03:02:40Z,search-uswest,p99_latency_ms,1290.0
2026-05-19T03:04:00Z,search-uswest,p99_latency_ms,540.0
2026-05-19T03:03:15Z,ingest-gateway,cpu_pct,94.0
2026-05-19T03:04:30Z,ingest-gateway,cpu_pct,47.0
2026-05-19T03:03:50Z,profile-svc-uswest,cpu_pct,92.0
2026-05-19T03:04:40Z,profile-svc-uswest,cpu_pct,51.0
2026-05-19T03:00:55Z,edge-lb-uswest,healthcheck_fail_rate,0.33
2026-05-19T03:01:30Z,edge-lb-uswest,healthcheck_fail_rate,0.05
2026-05-19T03:02:20Z,session-cache-uswest,p99_latency_ms,980.0
2026-05-19T03:03:10Z,session-cache-uswest,p99_latency_ms,520.0
2026-05-19T03:04:30Z,notifications,queue_depth,6200.0
2026-05-19T03:05:30Z,notifications,queue_depth,4100.0
2026-05-19T03:00:00Z,payments-api-uswest,request_queue_depth,1200.0
2026-05-19T03:05:00Z,payments-api-uswest,request_queue_depth,9800.0
2026-05-19T03:06:30Z,payments-api-uswest,request_queue_depth,48000.0
2026-05-19T03:12:00Z,payments-api-uswest,request_queue_depth,71000.0
2026-05-19T03:20:00Z,payments-api-uswest,request_queue_depth,88000.0
2026-05-19T03:00:00Z,checkout,http_5xx_rate,0.004
2026-05-19T03:08:10Z,checkout,http_5xx_rate,0.27
2026-05-19T03:18:00Z,checkout,http_5xx_rate,0.34
2026-05-19T03:00:00Z,orders,p99_latency_ms,260.0
2026-05-19T03:09:05Z,orders,p99_latency_ms,7600.0
2026-05-19T03:18:00Z,orders,p99_latency_ms,8900.0
2026-05-19T03:00:00Z,postgres-replica-uswest,replication_lag_s,3.0
2026-05-19T03:10:00Z,postgres-replica-uswest,replication_lag_s,180.0
2026-05-19T03:12:20Z,postgres-replica-uswest,replication_lag_s,640.0
2026-05-19T03:20:00Z,postgres-replica-uswest,replication_lag_s,910.0
2026-05-19T03:35:00Z,postgres-replica-uswest,replication_lag_s,1180.0
2026-05-19T03:15:10Z,reporting,stale_read_rate,0.61
2026-05-19T03:30:00Z,reporting,stale_read_rate,0.66
2026-05-19T02:30:00Z,audit-log-store,disk_usage_pct,86.0
2026-05-19T02:50:00Z,audit-log-store,disk_usage_pct,88.0
2026-05-19T03:10:00Z,audit-log-store,disk_usage_pct,90.0
2026-05-19T03:18:00Z,audit-log-store,disk_usage_pct,91.0
2026-05-19T03:40:00Z,audit-log-store,disk_usage_pct,93.0
2026-05-19T02:48:00Z,billing,queue_depth,8000.0
2026-05-19T03:05:00Z,billing,queue_depth,12800.0
