timestamp,service,metric,value
2026-06-22T12:50:00Z,http-receiver,warn_log_rate,40
2026-06-22T13:05:00Z,http-receiver,warn_log_rate,340
2026-06-22T13:12:00Z,http-receiver,warn_log_rate,510
2026-06-22T13:20:00Z,http-receiver,http_5xx_rate,0.22
2026-06-22T13:40:00Z,http-receiver,http_5xx_rate,0.29
2026-06-22T12:20:00Z,edge-ingest-gateway,http_5xx_rate,0.01
2026-06-22T12:38:00Z,edge-ingest-gateway,http_5xx_rate,0.31
2026-06-22T12:55:00Z,edge-ingest-gateway,http_5xx_rate,0.38
2026-06-22T13:15:00Z,edge-ingest-gateway,http_5xx_rate,0.44
2026-06-22T11:20:00Z,olapdb-server,mem_used_pct,71
2026-06-22T11:48:00Z,olapdb-server,mem_used_pct,88
2026-06-22T12:30:00Z,olapdb-server,mem_used_pct,92
2026-06-22T13:10:00Z,olapdb-server,mem_used_pct,95
2026-06-22T13:40:00Z,olapdb-server,mem_used_pct,97
2026-06-22T13:18:00Z,transformer,error_rate,0.16
2026-06-22T13:35:00Z,transformer,error_rate,0.21
2026-06-22T12:10:00Z,inference-runner,warn_log_rate,180
2026-06-22T12:11:00Z,inference-runner,warn_log_rate,35
2026-06-22T11:50:00Z,workflow-engine,warn_log_rate,210
2026-06-22T11:51:00Z,workflow-engine,warn_log_rate,42
2026-06-22T12:30:00Z,Platform API,warn_log_rate,150
2026-06-22T12:31:00Z,Platform API,warn_log_rate,48
